Incident No,Business Unit,Site,City,Latitude (Site),Longitude (Site),State,Country,Damage Type,Damaged Item,Date and Time of Incident,Impacted Person,Incident Cause,Incident Description,Incident Severity,Incident Type,Reported By,Worker Type,Lost Hours,Reporting Time
36771,Transport,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,24/08/2022 10:32,,Errors,Description 19316,Major,Near Miss,Lord Fotheringham,Subcontractor,,49
26421,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,14/10/2021 08:45,,Violations,Description 13901,Minor,Vehicle Incident,Max Avantgarde,Subcontractor,,24
35105,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,05/07/2022 13:30,,Ill Health,Description 18438,Critical,Near Miss,Max Avantgarde,Subcontractor,,17
42711,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,08/03/2023 11:47,,Accidents,Description 22321,Major,Near Miss,Basil Jet,Subcontractor,,16
42715,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,08/03/2023 11:58,,Errors,Description 22324,Minor,Near Miss,Basil Jet,Subcontractor,,20
42771,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,09/03/2023 11:01,,Violations,Description 22357,Critical,Near Miss,Axel Jacklin,Subcontractor,,48
13917,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/10/2020 06:04,,Ill Health,Description 7347,Major,Near Miss,Steven Toast,Subcontractor,,46
8162,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,28/01/2020 00:00,,Accidents,Description 4301,Minor,Near Miss,Pooky Hook,Subcontractor,,17
8160,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,27/01/2020 21:00,,Errors,Description 4300,Critical,Near Miss,Pooky Hook,Subcontractor,,21
8156,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,27/01/2020 19:00,,Violations,Description 4302,Major,Near Miss,Pooky Hook,Subcontractor,,20
13914,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,27/01/2020 19:00,,Ill Health,Description 4299,Minor,Near Miss,Pooky Hook,Subcontractor,,14
16729,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/10/2020 06:00,,Accidents,Description 7346,Critical,Near Miss,Steven Toast,Subcontractor,,53
16734,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/01/2021 13:27,,Errors,Description 8893,Major,Near Miss,Max Avantgarde,Subcontractor,,25
19773,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/01/2021 14:43,,Violations,Description 8894,Minor,Near Miss,Max Avantgarde,Subcontractor,,48
26033,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,19/03/2021 10:04,,Ill Health,Description 10457,Critical,Near Miss,Max Avantgarde,Subcontractor,,35
26035,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/09/2021 08:38,,Accidents,Description 13691,Major,Near Miss,Max Avantgarde,Subcontractor,,27
34444,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/09/2021 08:42,,Errors,Description 13692,Minor,Near Miss,Max Avantgarde,Subcontractor,,19
8210,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,22/06/2022 06:00,,Violations,Description 18078,Critical,Near Miss,Max Avantgarde,Subcontractor,,31
15133,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,28/01/2020 15:45,,Ill Health,Description 4324,Major,Near Miss,Max Avantgarde,Subcontractor,,31
42903,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,11/11/2020 14:35,,Accidents,Description 8020,Minor,Near Miss,Max Avantgarde,Subcontractor,,19
42662,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,13/03/2023 09:53,,Errors,Description 22434,Critical,Near Miss,Max Avantgarde,Subcontractor,,57
42905,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,07/03/2023 12:15,,Violations,Description 22287,Major,Near Miss,Basil Jet,Subcontractor,,19
41029,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,13/03/2023 09:55,,Ill Health,Description 22435,Minor,Near Miss,Max Avantgarde,Subcontractor,,48
42925,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,19/01/2023 19:00,,Accidents,Description 21461,Critical,Near Miss,Pooky Hook,Subcontractor,,54
42931,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,13/03/2023 09:59,,Errors,Description 22454,Major,Near Miss,Max Avantgarde,Subcontractor,,12
16814,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,13/03/2023 11:21,,Violations,Description 22453,Minor,Near Miss,Max Avantgarde,Subcontractor,,25
16816,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,10/01/2021 12:24,,Ill Health,Description 8920,Critical,Near Miss,Steven Toast,Subcontractor,,17
16818,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,10/01/2021 12:51,,Accidents,Description 8921,Major,Near Miss,Steven Toast,Subcontractor,,21
19747,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,10/01/2021 12:58,,Errors,Description 8922,Minor,Near Miss,Steven Toast,Subcontractor,,18
19733,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,18/03/2021 09:25,,Violations,Description 10454,Critical,Near Miss,Max Avantgarde,Subcontractor,,20
19703,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,17/03/2021 21:12,,Ill Health,Description 10450,Major,Near Miss,Max Avantgarde,Subcontractor,,17
14959,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,17/03/2021 20:39,,Accidents,Description 10421,Minor,Near Miss,Pooky Hook,Subcontractor,,37
8029,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,08/11/2020 13:56,,Errors,Description 7925,Critical,Near Miss,Ray Purchase,Subcontractor,,20
36791,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,23/01/2020 18:00,,Violations,Description 4234,Major,Near Miss,Steven Toast,Subcontractor,,29
8237,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/08/2022 08:59,,Ill Health,Description 19285,Minor,Near Miss,Max Avantgarde,Subcontractor,,51
14135,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,29/01/2020 09:49,,Accidents,Description 4334,Critical,Near Miss,Max Avantgarde,Subcontractor,,17
27667,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,11/10/2020 06:15,,Errors,Description 7476,Major,Near Miss,Max Avantgarde,Subcontractor,,46
8022,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/11/2021 09:46,,Violations,Description 14552,Minor,Near Miss,Max Avantgarde,Subcontractor,,20
8286,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,23/01/2020 17:02,,Ill Health,Description 4229,Critical,Near Miss,Steven Toast,Subcontractor,,36
28508,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,29/01/2020 10:30,,Accidents,Description 4379,Major,Work Observation,Max Avantgarde,Subcontractor,,49
27669,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,14/01/2022 06:56,,Errors,Description 15011,Minor,Near Miss,Max Avantgarde,Subcontractor,,32
27671,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/11/2021 09:51,,Violations,Description 14553,Critical,Near Miss,Max Avantgarde,Subcontractor,,51
43006,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/11/2021 09:53,,Ill Health,Description 14554,Major,Near Miss,Max Avantgarde,Subcontractor,,13
42609,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/03/2023 12:15,,Accidents,Description 22507,Minor,Near Miss,Pooky Hook,Subcontractor,,39
40964,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/03/2023 08:44,,Errors,Description 22268,Critical,Near Miss,Basil Jet,Subcontractor,,18
8577,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,18/01/2023 13:18,,Violations,Description 21421,Major,Near Miss,Jill Fan,Subcontractor,,57
21768,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,05/02/2020 06:44,,Ill Health,Description 4515,Minor,Work Observation,Duncan Clench,Subcontractor,,30
24187,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,13/05/2021 06:49,,Accidents,Description 11484,Critical,Work Observation,Cliff Bonanza,Subcontractor,,40
7855,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,26/07/2021 12:28,,Errors,Description 12741,Major,Near Miss,Max Avantgarde,Subcontractor,,15
8575,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,21/01/2020 08:04,,Violations,Description 4156,Minor,Near Miss,Steven Toast,Subcontractor,,36
7843,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,05/02/2020 06:38,,Ill Health,Description 4514,Critical,Work Observation,Duncan Clench,Subcontractor,,28
43009,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,21/01/2020 08:13,,Accidents,Description 4142,Major,Near Miss,Steven Toast,Subcontractor,,34
34300,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/03/2023 12:36,,Errors,Description 22509,Minor,Near Miss,Basil Jet,Subcontractor,,54
24446,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Cuts / Laceration,Lower Leg,18/06/2022 19:00,Paul Fishwick,Violations,Description 17987,Critical,Injury/Illness,Max Avantgarde,Permanent,,18
16927,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/08/2021 10:54,,Ill Health,Description 12890,Major,Near Miss,Cliff Bonanza,Subcontractor,,37
8527,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,13/01/2021 14:15,,Accidents,Description 8972,Minor,Near Miss,Clancy Moped,Subcontractor,,21
24448,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/02/2020 12:21,,Errors,Description 4487,Critical,Near Miss,Max Avantgarde,Subcontractor,,51
27673,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/08/2021 10:54,,Violations,Description 12891,Major,Near Miss,Cliff Bonanza,Subcontractor,,18
36969,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/11/2021 09:57,,Ill Health,Description 14555,Minor,Near Miss,Max Avantgarde,Subcontractor,,35
27676,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,05/09/2022 06:21,,Accidents,Description 19357,Critical,Near Miss,Max Avantgarde,Subcontractor,,22
34817,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/11/2021 10:04,,Errors,Description 14556,Major,Near Miss,Max Avantgarde,Subcontractor,,59
36778,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,29/06/2022 11:00,,Violations,Description 18283,Minor,Near Miss,Steven Toast,Subcontractor,,23
30367,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,26/08/2022 10:48,,Ill Health,Description 19290,Critical,Near Miss,Max Avantgarde,Subcontractor,,34
8593,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,23/02/2022 14:19,,Accidents,Description 15988,Major,Near Miss,Pooky Hook,Subcontractor,,54
30385,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/02/2020 08:43,,Errors,Description 4563,Minor,Near Miss,Max Avantgarde,Subcontractor,,56
27678,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,24/02/2022 09:30,,Violations,Description 15995,Critical,Near Miss,Clancy Moped,Subcontractor,,18
8590,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,30/11/2021 10:08,,Ill Health,Description 14557,Major,Near Miss,Max Avantgarde,Subcontractor,,21
8585,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/02/2020 08:35,,Accidents,Description 4562,Minor,Near Miss,Max Avantgarde,Subcontractor,,59
36712,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/02/2020 08:27,,Errors,Description 4558,Critical,Near Miss,Max Avantgarde,Subcontractor,,53
34187,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,25/08/2022 13:41,,Violations,Description 19236,Major,Near Miss,Cliff Bonanza,Subcontractor,,36
42589,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/06/2022 11:10,,Ill Health,Description 17942,Minor,Near Miss,Basil Jet,Subcontractor,,34
19683,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/03/2023 07:38,,Accidents,Description 22255,Critical,Near Miss,Cliff Bonanza,Subcontractor,,59
40857,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,17/03/2021 14:27,,Errors,Description 10410,Major,Near Miss,Clem Fandango,Subcontractor,,37
38606,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,16/01/2023 14:50,,Violations,Description 21375,Minor,Near Miss,Cliff Bonanza,Subcontractor,,49
30463,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,27/10/2022 08:28,,Ill Health,Description 20196,Critical,Near Miss,Cliff Bonanza,Subcontractor,,11
13040,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,25/02/2022 13:40,,Accidents,Description 16040,Major,Near Miss,Max Avantgarde,Subcontractor,,19
36681,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,03/09/2020 06:32,,Errors,Description 6933,Minor,Near Miss,Dinky Frinkbuster,Subcontractor,,53
40885,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,25/08/2022 07:15,,Violations,Description 19218,Critical,Near Miss,Cliff Bonanza,Subcontractor,,14
37091,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/01/2023 13:13,,Ill Health,Description 21420,Major,Near Miss,Clem Fandango,Subcontractor,,11
13038,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,07/09/2022 09:02,,Accidents,Description 19421,Minor,Near Miss,Max Avantgarde,Subcontractor,,28
13036,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,03/09/2020 06:19,,Errors,Description 6932,Critical,Near Miss,Jill Fan,Subcontractor,,15
14159,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,03/09/2020 06:09,,Violations,Description 6931,Major,Near Miss,Des Wigwam,Subcontractor,,43
7899,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,13/10/2020 09:00,,Ill Health,Description 7479,Minor,Near Miss,Steven Toast,Subcontractor,,16
40883,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,21/01/2020 18:00,,Accidents,Description 4166,Critical,Near Miss,Steven Toast,Subcontractor,,53
17062,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/01/2023 13:06,,Errors,Description 21419,Major,Near Miss,Jill Fan,Subcontractor,,19
28561,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,18/01/2021 03:47,,Violations,Description 9028,Minor,Near Miss,Steven Toast,Subcontractor,,44
17066,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,16/01/2022 18:30,,Ill Health,Description 15030,Critical,Near Miss,Pooky Hook,Subcontractor,,35
29393,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,18/01/2021 07:45,,Accidents,Description 9029,Major,Property Damage Incident,Steven Toast,Subcontractor,,38
14191,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,02/02/2022 13:00,,Errors,Description 15461,Minor,Near Miss,Basil Jet,Subcontractor,,50
30471,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,14/10/2020 09:42,,Violations,Description 7499,Critical,Near Miss,Max Avantgarde,Subcontractor,,42
14224,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,25/02/2022 15:07,,Ill Health,Description 16044,Major,Near Miss,Pooky Hook,Subcontractor,,45
14225,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Bruising,Chest,14/10/2020 14:30,,Accidents,Description 7523,Minor,Injury/Illness,Kate Fear,Contractor,,36
24530,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Bruising,Face,14/10/2020 14:30,,Errors,Description 7523,Critical,Injury/Illness,Kate Fear,Contractor,,19
14226,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/08/2021 08:30,,Violations,Description 12930,Major,Near Miss,Basil Jet,Subcontractor,,21
14227,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Bruising,Head,14/10/2020 14:30,,Ill Health,Description 7523,Minor,Injury/Illness,Kate Fear,Contractor,,52
14228,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Bruising,Wrist,14/10/2020 14:30,,Accidents,Description 7523,Critical,Injury/Illness,Kate Fear,Contractor,,56
22047,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Bruising,Wrist,14/10/2020 14:30,,Errors,Description 7523,Major,Injury/Illness,Kate Fear,Contractor,,23
14221,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,19/05/2021 08:30,,Violations,Description 11647,Minor,Near Miss,Basil Jet,Subcontractor,,26
14223,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/10/2020 06:42,,Ill Health,Description 7511,Critical,Near Miss,Kate Fear,Subcontractor,,26
29528,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/10/2020 07:20,,Accidents,Description 7512,Major,Near Miss,,Subcontractor,,36
14961,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,15/10/2020 07:26,,Errors,Description 7513,Minor,Near Miss,Warren Organ,Subcontractor,,27
7937,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,05/02/2022 03:53,,Violations,Description 15518,Critical,Near Miss,Steven Toast,Subcontractor,,42
34026,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,08/11/2020 14:03,,Ill Health,Description 7926,Major,Near Miss,Ray Purchase,Subcontractor,,42
34995,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,22/01/2020 12:07,,Accidents,Description 4184,Minor,Near Miss,Steven Toast,Subcontractor,,29
36661,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,10/06/2022 10:31,,Errors,Description 17866,Critical,Near Miss,Nan Slack,Subcontractor,,10
14963,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,01/07/2022 11:05,,Violations,Description 18392,Major,Near Miss,Duncan Clench,Subcontractor,,58
21518,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,23/08/2022 09:30,,Ill Health,Description 19237,Minor,Work Observation,Max Avantgarde,Subcontractor,,10
21515,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,08/11/2020 14:09,,Accidents,Description 7927,Critical,Near Miss,Ray Purchase,Subcontractor,,36
21512,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/05/2021 11:05,,Errors,Description 11350,Major,Near Miss,,Subcontractor,,48
7994,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/05/2021 10:56,,Violations,Description 11348,Minor,Near Miss,,Subcontractor,,43
29526,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,06/05/2021 10:54,,Ill Health,Description 11346,Critical,Near Miss,,Subcontractor,,50
29522,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,22/01/2020 18:00,,Accidents,Description 4233,Major,Near Miss,Steven Toast,Subcontractor,,37
13731,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,05/02/2022 02:35,,Errors,Description 15517,Minor,Near Miss,Steven Toast,Subcontractor,,12
17146,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/02/2022 17:34,,Violations,Description 15516,Critical,Near Miss,Steven Toast,Subcontractor,,10
18411,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,23/09/2020 10:17,,Ill Health,Description 7336,Major,Near Miss,Max Avantgarde,Subcontractor,,36
35022,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,19/01/2021 09:00,,Accidents,Description 9077,Minor,Near Miss,Pooky Hook,Subcontractor,,34
36602,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,19/01/2021 09:02,,Errors,Description 10341,Critical,Environmental Incident,Max Avantgarde,Subcontractor,,30
36601,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/07/2022 04:11,,Violations,Description 18397,Major,Near Miss,Axel Jacklin,Subcontractor,,24
23261,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Cuts / Laceration,Arm,22/08/2022 18:00,Scott Kenyon,Ill Health,Description 19186,Minor,Injury/Illness,Max Avantgarde,Permanent,,22
13560,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Other,Foot,22/08/2022 18:00,Scott Kenyon,Accidents,Description 19186,Critical,Injury/Illness,Max Avantgarde,Permanent,,49
40714,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,Cuts / Laceration,Hand,24/06/2021 06:25,,Errors,Description 12262,Major,Injury/Illness,Steven Toast,Contractor,,24
35021,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,23/09/2020 07:23,,Violations,Description 7170,Minor,Near Miss,Max Avantgarde,Subcontractor,,48
40727,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,12/01/2023 08:14,,Ill Health,Description 21299,Critical,Near Miss,Pooky Hook,Subcontractor,,46
30179,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/07/2022 05:09,,Accidents,Description 18395,Major,Near Miss,Axel Jacklin,Subcontractor,,41
17218,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,12/01/2023 08:00,,Errors,Description 21315,Minor,Near Miss,Pooky Hook,Subcontractor,,20
40658,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,20/02/2022 06:25,,Violations,Description 15888,Critical,Near Miss,Steven Toast,Subcontractor,,30
40650,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,20/01/2021 06:00,,Ill Health,Description 9127,Major,Near Miss,Pooky Hook,Subcontractor,,53
28449,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,11/01/2023 08:13,,Accidents,Description 21265,Minor,Near Miss,Pooky Hook,Subcontractor,,40
29485,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,20/01/2021 06:42,,Errors,Description 9126,Critical,Near Miss,Pooky Hook,Subcontractor,,31
29483,Site Activity,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,11/01/2023 06:48,,Violations,Description 21261,Major,Near Miss,Pooky Hook,Subcontractor,,12
14255,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,12/01/2022 08:14,,Ill Health,Description 14983,Minor,Near Miss,Max Avantgarde,Subcontractor,,42
33906,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/02/2022 08:36,,Accidents,Description 15496,Critical,Near Miss,Max Avantgarde,Subcontractor,,59
30583,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,04/02/2022 08:32,,Errors,Description 15495,Major,Near Miss,Max Avantgarde,Subcontractor,,10
21431,Transport,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,16/10/2020 08:49,,Violations,Description 7531,Minor,Near Miss,Varrity Map,Subcontractor,,44
36530,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,07/06/2022 10:38,,Ill Health,Description 17809,Critical,Near Miss,Basil Jet,Subcontractor,,39
21429,Production,Accrington,Bristol,51.40174017,-2.571334618,England,United Kingdom,,,02/03/2022 10:20,,Accidents,Description 16094,Major,Near Miss,Max Avantgarde,Subcontractor,,54
